#SampleID,BarcodeSequence,LinkerPrimerSequence,Location,Sampling_date,Loc_plot_ID,rep-by-loc,Soil_Zone,genotype,crop,Herbicide_History,Glyphosphate_Treatment,system,System-loc,,Sample,I,D,year,ITS_seq_plate,ITS-date,16s_seq_plate,16s-date,original well-plate,,Year,Site,Plate#,Run#,Original Well,q,PCR Well,original well,Well Type,Replicate,Threshold (dRn),Ct (dRn),Quantity (picograms),RSq (dRn),Slope (dRn),Correction
172.S1,,,Beltsville,post,101,,bulk,Non_RR,corn,15yrs,no_spray,,CT-MD,,Plate1,A,1,2013,228,3/25/16,172,7/23/15,A1-Plate1,,2013,Beltsville,Plate1,Run1,A1,A,1,A1,Unknown,1,0.9032,19.24,2.39,0.999,-3.328,0.479542931
172.S10,,,Beltsville,post,113,,bulk,Non_RR,corn,none,no_spray,,Org_3,,Plate1,A,10,2013,228,3/25/16,172,7/23/15,A10-Plate1,,2013,Beltsville,Plate1,Run2,A4,A,4,A10,Unknown,73,0.7344,18.45,3.52,0.998,-3.289,0.706272434
172.S11,,,Beltsville,post,113,,bulk,RR,corn,none,spray,,Org_3,,Plate1,A,11,2013,228,3/25/16,172,7/23/15,A11-Plate1,,2013,Beltsville,Plate1,Run2,A5,A,5,A11,Unknown,81,0.7344,18.44,3.54,0.998,-3.289,0.710285345
172.S12,,,Beltsville,post,114,,rhizosphere,RR,soy,none,no_spray,,Org_3,,Plate1,A,12,2013,228,3/25/16,172,7/23/15,A12-Plate1,,2013,Beltsville,Plate1,Run2,A6,A,6,A12,Unknown,89,0.7344,No Ct,No Ct,0.998,-3.289,1
172.S2,,,Beltsville,post,101,,bulk,RR,corn,15yrs,spray,,CT-MD,,Plate1,A,2,2013,228,3/25/16,172,7/23/15,A2-Plate1,,2013,Beltsville,Plate1,Run1,A2,A,2,A2,Unknown,9,0.9032,19.18,2.5,0.999,-3.328,0.501613945
172.S3,,,Beltsville,post,102,,rhizosphere,RR,soy,15yrs,no_spray,,CT-MD,,Plate1,A,3,2013,228,3/25/16,172,7/23/15,A3-Plate1,,2013,Beltsville,Plate1,Run1,A3,A,3,A3,Unknown,17,0.9032,19.05,2.73,0.999,-3.328,0.547762427
172.S4,,,Beltsville,post,103,,bulk,Non_RR,corn,15yrs,no_spray,,NT-MD,,Plate1,A,4,2013,228,3/25/16,172,7/23/15,A4-Plate1,,2013,Beltsville,Plate1,Run1,A4,A,4,A4,Unknown,25,0.9032,18.46,4.11,0.999,-3.328,0.824653325
172.S5,,,Beltsville,post,103,,bulk,RR,corn,15yrs,spray,,NT-MD,,Plate1,A,5,2013,228,3/25/16,172,7/23/15,A5-Plate1,,2013,Beltsville,Plate1,Run1,A5,A,5,A5,Unknown,33,0.9032,19.32,2.27,0.999,-3.328,0.455465462
172.S6,,,Beltsville,post,104,,rhizosphere,RR,soy,15yrs,no_spray,,NT-MD,,Plate1,A,6,2013,228,3/25/16,172,7/23/15,A6-Plate1,,2013,Beltsville,Plate1,Run1,A6,A,6,A6,Unknown,41,0.9032,19,2.83,0.999,-3.328,0.567826985
172.S7,,,Beltsville,post,107,,bulk,RR,soy,none,no_spray,,Org_6,,Plate1,A,7,2013,228,3/25/16,172,7/23/15,A7-Plate1,,2013,Beltsville,Plate1,Run2,A1,A,1,A7,Unknown,49,0.7344,18.57,3.24,0.998,-3.289,0.650091672
172.S8,,,Beltsville,post,107,,bulk,RR,soy,none,spray,,Org_6,,Plate1,A,8,2013,228,3/25/16,172,7/23/15,A8-Plate1,,2013,Beltsville,Plate1,Run2,A2,A,2,A8,Unknown,57,0.7344,18.68,2.99,0.998,-3.289,0.599930278
172.S9,,,Beltsville,post,110,,rhizosphere,Non_RR,corn,none,no_spray,,Org_6,,Plate1,A,9,2013,228,3/25/16,172,7/23/15,A9-Plate1,,2013,Beltsville,Plate1,Run2,A3,A,3,A9,Unknown,65,0.7344,18.48,3.44,0.998,-3.289,0.690220788
